repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
freeCodeCamp,2014-12-24T17:49:19Z,TypeScript,399485,22854,0,2024-08-22T21:56:50Z,18191,18009,0.9899950524984883,10,-1
free-programming-books,2013-10-11T06:50:37Z,Unknown,331954,6482,0,2024-08-22T22:33:46Z,1092,1066,0.9761904761904762,11,-1
awesome,2014-07-11T13:42:37Z,Unknown,320430,651,0,2024-08-22T22:12:14Z,340,327,0.961764705882353,10,-1
public-apis,2016-03-20T23:49:42Z,Python,310483,1872,0,2024-08-22T22:44:48Z,599,587,0.9799666110183639,8,-1
coding-interview-university,2016-06-06T02:34:12Z,Unknown,302837,411,0,2024-08-22T20:52:32Z,438,394,0.8995433789954338,8,-1
build-your-own-x,2018-05-09T12:03:18Z,Unknown,296174,139,0,2024-08-22T22:35:51Z,663,481,0.7254901960784313,6,-1
developer-roadmap,2017-03-15T13:45:52Z,TypeScript,288386,2602,1,2024-08-22T22:38:44Z,2172,2130,0.9806629834254144,7,-1
996.ICU,2019-03-26T07:31:14Z,Unknown,269626,1066,0,2024-08-22T14:27:46Z,0,0,,5,0
system-design-primer,2017-02-26T16:15:28Z,Python,267657,198,0,2024-08-22T22:43:28Z,295,84,0.2847457627118644,7,-1
react,2013-05-24T16:15:54Z,JavaScript,226548,10688,101,2024-08-22T22:18:38Z,13096,12427,0.9489156994502138,11,-1
awesome-python,2014-06-27T21:00:06Z,Python,216437,543,0,2024-08-22T22:18:36Z,0,0,,10,-1
vue,2013-07-29T03:24:51Z,TypeScript,207595,1135,249,2024-08-22T21:22:06Z,10015,9660,0.964553170244633,11,-1
project-based-learning,2017-04-12T05:07:46Z,Unknown,193163,182,0,2024-08-22T22:36:40Z,160,69,0.43125,7,-1
awesome-selfhosted,2015-06-01T02:33:17Z,Unknown,191737,2392,1,2024-08-22T22:42:29Z,804,804,1.0,9,-1
javascript-algorithms,2018-03-24T07:47:04Z,JavaScript,186375,299,0,2024-08-22T21:59:05Z,351,223,0.6353276353276354,6,-1
tensorflow,2015-11-07T01:19:20Z,C++,184824,22391,208,2024-08-22T22:38:59Z,39655,37879,0.9552137183205144,9,-1
Python,2016-07-16T09:44:01Z,Python,183465,2797,0,2024-08-22T21:32:04Z,1457,1430,0.9814687714481812,8,-1
You-Dont-Know-JS,2013-11-16T02:37:24Z,Unknown,178671,367,0,2024-08-22T22:17:58Z,925,846,0.9145945945945946,11,-1
